player_id,thumb_url,name,player_url,jersey,position_group,bat_throw,height,weight,dob,status,is_minors,is_il,is_active_roster,is_40_man,slug
678394,https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:silo:current.png/r_max/q_auto:best/v1/people/678394/headshot/silo/current,Brayan Bello,/player/678394,66,Pitchers,R/R,"6' 1""",195,05/17/1999,ACTIVE,False,False,True,True,brayan-bello
547973,https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:silo:current.png/r_max/q_auto:best/v1/people/547973/headshot/silo/current,Aroldis Chapman,/player/547973,44,Pitchers,L/L,"6' 4""",235,02/28/1988,ACTIVE,False,False,True,True,aroldis-chapman
543056,https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:silo:current.png/r_max/q_auto:best/v1/people/543056/headshot/silo/current,Danny Coulombe,/player/543056,67,Pitchers,L/L,"5' 10""",190,10/26/1989,ACTIVE,False,False,True,True,danny-coulombe
676710,https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:silo:current.png/r_max/q_auto:best/v1/people/676710/headshot/silo/current,Kutter Crawford,/player/676710,50,Pitchers,R/R,"6' 1""",195,04/01/1996,ACTIVE,False,False,True,True,kutter-crawford
676979,https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:silo:current.png/r_max/q_auto:best/v1/people/676979/headshot/silo/current,Garrett Crochet,/player/676979,35,Pitchers,L/L,"6' 6""",245,06/21/1999,ACTIVE,False,False,True,True,garrett-crochet
813349,https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:silo:current.png/r_max/q_auto:best/v1/people/813349/headshot/silo/current,Connelly Early,/player/813349,71,Pitchers,L/L,"6' 3""",195,04/03/2002,ACTIVE,False,False,True,True,connelly-early
543243,https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:silo:current.png/r_max/q_auto:best/v1/people/543243/headshot/silo/current,Sonny Gray,/player/543243,54,Pitchers,R/R,"5' 10""",190,11/07/1989,ACTIVE,False,False,True,True,sonny-gray
663558,https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:silo:current.png/r_max/q_auto:best/v1/people/663558/headshot/silo/current,Jovani Morán,/player/663558,47,Pitchers,L/L,"6' 1""",167,04/24/1997,ACTIVE,False,False,True,True,jovani-moran
670912,https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:silo:current.png/r_max/q_auto:best/v1/people/670912/headshot/silo/current,Johan Oviedo,/player/670912,29,Pitchers,R/R,"6' 6""",275,03/02/1998,ACTIVE,False,False,True,True,johan-oviedo
663776,https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:silo:current.png/r_max/q_auto:best/v1/people/663776/headshot/silo/current,Patrick Sandoval,/player/663776,43,Pitchers,L/L,"6' 3""",190,10/18/1996,ACTIVE,False,False,True,True,patrick-sandoval
686580,https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:silo:current.png/r_max/q_auto:best/v1/people/686580/headshot/silo/current,Justin Slaten,/player/686580,63,Pitchers,R/R,"6' 4""",222,09/15/1997,ACTIVE,False,False,True,True,justin-slaten
